source,raw_text
github_scipy,RFC: Should we have a 'needs-release-note-decision' tag?
github_scipy,TST: stats: TestStudentT.test_moments_t failure
github_scipy,DEV: switch from `dtach` to `tach`
github_scipy,DOC: py:obj reference target not found: warnings in main
github_scipy,BUG: stats: `theilslopes()` modifies the input if pandas DataFrame used
github_scipy,BUG: optimize.root: Possibly incorrect armijo line search with quasi-newton methods
github_scipy,ENH: optimize: Allow concurrent use of COBYQA minimizer
github_scipy,BUG/DOC: Docstring rewriting in `xp_capabilities` can break intersphinx references
github_scipy,BUG: Legendre functions of the second kind in scipy.special are not defined correctly with argument > 1
github_scipy,BUG: stats: Landau Distribution does not match ROOT
github_scipy,BUG: linalg.lstsq: zgemv segfaults when run in parallel
github_scipy,BUG/TST: cluster: Occasional failure of a couple tests in `cluster`
github_scipy,Query: import errors with Cython 3.2.0
github_scipy,TST: linalg.blas.dnrm2: xfailed test for `incx=-1`
github_scipy,CI: special/stats: failures for `sf_error` and `MatrixT` on NumPy dev/pre jobs
github_scipy,BUG: stats: Multivariate distributions `pdf` and `cdf` functions don't check input size
github_scipy,"BUG: MacOS 26.1 dos not have an ""Accelerate"" folder under /System/Library/Frameworks/Accelerate.framework/Versions/A"
github_scipy,DOC: interpolate: griddata should document that triangulation is ambiguous on rectilinear data
github_scipy,"CI: hang in windows job, OpenMP clash"
github_scipy,BUG: The welch function calculates spectra twice for no apparent reason.
github_scipy,BUG: special: Spherical bessel functions error on bool input
github_scipy,DOC:  ndimage.convolve: `origin` used confusingly
github_scipy,BUG: optimize.shgo: ignores minimizer_kwargs options dictionary
github_scipy,BUG: `obl_cv_seq` crashes with `free(): invalid size` after returning results (memory corruption)
github_scipy,ENH: stats.pointbiserialr: replace implementation
github_scipy,ENH: special: functions should accept Python scalars with non-NumPy arrays
github_scipy,ENH: optimize.curve_fit: extend to non-Gaussian noise models
github_scipy,"CI: Prerelease, mypy, and freethreaded jobs failing due to Pythran error: `KeyError: 'sep'`"
github_scipy,BENCH: interpolate: Benchmark failure inside `interpolate.RegularGridInterpolatorSubclass.time_rgi`
github_scipy,BUG: stats: anderson(dist=’norm’) tabulated critical values don’t match significance levels
github_scipy,QUERY: Cannot build from source due `openblas-devel` not providing pkg-config files on Fedora Rawhide
github_scipy,"DOC: special: How are ""Even/odd modified Mathieu function of the first/second kind and its derivative"" being defined in scipy.special?"
github_scipy,BUG: optimize: `minimize(... method='BFGS')` float32 behaviour is not consistent
github_scipy,ENH: stats: frequency weights for `gaussian_kde`
github_scipy,"CI: mypy and clang jobs failing with ""unused function"" error during compilation"
github_scipy,BUG: stats.relfreq: relative frequencies do not sum to 1 when `weights` is used
github_scipy,BUG: odr: Implicit ODR causes segmentation fault when `ODR.beta0.size > Data.x.size`.
github_scipy,"DOC: Invalid documentation of parameter ""shape"" of the ""scipy.sparse. random_array"" function"
github_scipy,version too old via `apt-get`
github_scipy,TST: integrate: free-threaded failure in `test_odeint_banded_jac`
github_scipy,BUG: optimize: _wrap_callback function can trigger a NameError on Python 3.14 in edge cases due to PEP 649/749
github_scipy,TST: stats: free-threaded failure in `test_non_finite_inputs_and_int_bins`
github_scipy,"ENH: Add ""norm"" parameter to `RBFInterpolator` (analogous to ""norm"" in `Rbf`)"
github_scipy,BLD: dropping manylinux2014 wheels
github_scipy,BUG: stats: `KstestResult.pvalue` fails static type checking
github_scipy,QUERY: optimize.least_squares: Issues choosing the right `diff_step`
github_scipy,"TST: signal.bessel: TestBessel ""Shapes do not match"" failures in mypy workflow"
github_scipy,ENH: stats: Implement marginal distributions for multivariate probability distributions
github_scipy,DOC: batched `linalg.orth` and `linalg.null_space` assumes all slices have the same rank
github_scipy,DOC: interpolate.make_interp_spline: tutorial for replicating legacy extrapolation options
github_scipy,DOC: cluster: move linkage matrix explanation
github_scipy,BUG: signal: find_peaks doesn't detect peaks
github_scipy,BUG: `spatial` test fail
github_scipy,DOC: RigidTransform.as_components doc is incorrect
github_scipy,BUG: stats: docstrings of several discrete distr. methods show unsupported 'scale' parameter
github_scipy,"BUG: `special.comb(0, 0, repetition=False) == 0` , not 1"
github_scipy,"TST, MAINT: boxcox_llf failing again"
github_scipy,Error download scipy version 1.16.2
github_scipy,BUG: interpolate: LinearNDInterpolator slow for large thread counts
github_scipy,BUG/TST: stats: New XSLOW failures in stats
github_scipy,DEV: add useful tasks/environments to Pixi workspace
github_scipy,DOC: denominator in scipy.stats.kstatvar for var(k2)
github_scipy,Wheels for next release
github_scipy,BUG: linalg: GIL re-enabled when importing `scipy.linalg` on the macOS arm64 conda-forge build
github_scipy,DOC: Broadcasting in `stats.quantile`
github_scipy,`test_multivariate` and `test_exponential_integral` failures on a fresh macOS M4 Homebrew-based env
github_scipy,"BUG: sparse: Using the `!=` operator forces CSR conversion, which can be bad for performance"
github_scipy,"TST: Missing tests for `mathieu_even_coef`, `mathieu_odd_coef`"
github_scipy,"MAINT, TST: optimize test_input_validation torch failure"
github_scipy,ENH: sparse.linalg.minres: support complex hermitian matrices
github_scipy,BUG: Intel oneAPI stops/fails during post cache install
github_scipy,Review scipy-release repo
github_scipy,"BUG: wasserstein_distance raises unexpectedly ""ValueError: object too deep for desired array"""
github_scipy,"BUG: special: sph_harm_y returns (0+0j) for valid l, m, theta, phi (SciPy 1.16.2)"
github_scipy,"BUG: make_splrep function parameter ""s"" should be typed as float"
github_scipy,Tracking issue: Stable ABI support
github_scipy,"DOC: ndimage.convolve ""weights"" parameter is ambiguously documented"
github_scipy,BUG: sparse: `check_format` does not check for out of bounds `.data` size for csr matrices
github_scipy,ENH: multiple vectors input to RegularGridInterpolator.__call__
github_scipy,ENH: Improve performance of converting csc arrays to csr arrays by avoiding copies when indptr and indices are already the correct dtype
github_scipy,ENH: linalg: close performance gaps vs `np.linalg`
github_scipy,"BUG: sparse: cs{cr}_{array,matrix}’s `sum(axis=0|1)` doesn’t interpret `dtype` as it should"
github_scipy,BUG: scipy.odr.ODR Segmentation Fault with job=1 and Explicit Models
github_scipy,ENH: interpolate.RegularGridInterpolator: `eliminate_zeros()` would make fit faster
github_scipy,"BUG: interpolate.RBFInterpolator: numerically unstable when two y points are very close, leading to extreme errors"
github_scipy,DOC/DX: `spin ipython --help` missing required use of `--` to pass args to ipython
github_scipy,DOC: Website flaky the last few days
github_scipy,"DOC: Documenation Site Not Loading (Also, Just Trying to Figure Out if I Can Use Minimize with a Function that Has One Variable But Multiple Other Inputs as Constants"
github_scipy,Tracker: Array API support in `scipy.interpolate`
github_scipy,TST: signal: Add better isolation to alternative backend tests for signal.
github_scipy,BUG: scipy.sparse.linalg.lsmr() uninitialised variable if maxiter=0 and show=True
github_scipy,BUG/RFC: signal: inconsistent output dtypes for filter functions with torch backend and float32 default dtype and what should be done about it.
github_scipy,QUERY: Fitting 4 parameters beta distribution leads to unexpected parameters
github_scipy,"BUG: `special.expi(inf)` is `nan`, should be `inf`"
github_scipy,BUG: interpolate: RBFInterpolator gets twice faster with `OPENBLAS_NUM_THREADS=1`
github_scipy,QUERY: optimize.fmin_slsqp: constraints are being ignored
github_scipy,QUERY: Problem when installing with MSYS2 toolchain
github_scipy,TST: test_as_euler_symmetric_axes tol with torch
github_scipy,BUG: integrate: benchmark integrate.CubatureOscillatory.time_plain timeout
github_scipy,TST: `FAILED scipy/linalg/tests/test_matfuncs.py::TestLogM::test_no_ZeroDivisionError`
github_scipy,BUG: `stats/tests/test_axis_nan_policy.py::test_axis_nan_policy_axis_is_None`
github_scipy,BUG: `signal/tests/test_short_time_fft.py::test_closest_STFT_dual_window_roundtrip`
github_scipy,TST: `FAILED scipy/stats/tests/test_continuous.py::TestDistributions::test_funcs[logcdf-methods10-x-Binomial]`
github_scipy,TST: FAILED scipy/interpolate/tests/test_bary_rational.py::TestAAA::test_spiral_cleanup
github_scipy,DOC: optimize: typo in LinearConstraint docs
github_scipy,DOC: special: second parameter in the `factorialk` docstring is mislabeled
